pn,sheet,cluster,man,model,name,cat,qty,unit,verdict,stock_grade,in_stock,stock_qty,lead_time,covers_qty,seller,seller_country,seller_url,seller_kind,price,currency,pack_qty,price_usd,unit_price,line_value_full_volume,in_firm_total,our_usd_lo,our_usd_hi,our_conf,price_gap,real_maker,real_pn,substitute,checked_by,note,rv_verdict,rv_price_usd,rv_maker,rv_channel,rv_blocker,rv_next_step,addressee_1,addressee_2,addressee_3,addressee_4
PA-1650-22,НВН,НВН · LITEON · прочее,LITEON,,Устройство зарядное LITEON PA-1650-22,прочее,1,ШТ,pn_not_found,нет,unknown,,,unknown,,,,aftermarket,,USD,1,,,,нет,,,,,,,"Блок питания 19 В / 3,42 А / 65 Вт, штекер уточнить (5,5×1,7 или 3,0×1,1); ряд PA-1650-02 / -22 / -86, ADP-65",сплошная проверка остатка 09.2026,"ранняя проверка 08.2026: артикул не найден. Поиском не подтверждено: на alternate.de позиции нет, поисковые системы недоступны через прокси. Lite-On PA-1650-22 — блок питания 65 Вт для ноутбуков Acer, типовые параметры 19 В / 3,42 А; оригинал снят с производства, рынок — совместимые. Критично уточнить у заказчика диаметр штекера (у Acer встречаются и 5,5×1,7, и 3,0×1,1) и модель ноутбука: по этим двум данным позиция закрывается любым совместимым БП 19 В 3,42 А.",,,,,,,Eleparts | Республика Корея |  | +82 1600 8749 | кластер,Forum Energy Technologies | USA/Germany |  | +1 713 351 7900;+49 40 37022 6855 | кластер,"Drilltech Manufacturing Co., Ltd | China | info@drilltech.cn | +86 317 2010189;+86 139 1057 5181 | кластер",WAGO | Germany | info.de@wago.com | +49 571 887 0 | кластер
PMR.R2.P.10K,НВН,НВН · PEPPERL+FUCHS · прочее,PEPPERL+FUCHS,,Потенциометр 10 ком 0-10 700004524 RI31,прочее,2,ШТ,pn_not_found,нет,unknown,,,unknown,,,,unknown,,USD,1,,,,нет,,,,,,,"Потенциометр 10 кОм, выход 0-10 В — подбор по типу (одно/многооборотный), углу, валу и линейности",сплошная проверка остатка 09.2026,"ранняя проверка 08.2026: артикул не найден. Не опознано, поиском не подтверждено. Код PMR.R2.P.10K не подтверждён ни в одном каталоге, и Pepperl+Fuchs потенциометров под таким обозначением не выпускает — вероятно, это покупной прецизионный потенциометр внутри узла (кандидаты Novotechnik, Megatron, Vishay Spectrol, Penny+Giles), а 700004524 и RI31 из наименования — внутренний номер и обозначение прибора. Уточнить у заказчика: тип, угол поворота, посадочный вал, линейность, исполнение.",,,,,,,Eleparts | Республика Корея |  | +82 1600 8749 | кластер,Forum Energy Technologies | USA/Germany |  | +1 713 351 7900;+49 40 37022 6855 | кластер,"Drilltech Manufacturing Co., Ltd | China | info@drilltech.cn | +86 317 2010189;+86 139 1057 5181 | кластер",WAGO | Germany | info.de@wago.com | +49 571 887 0 | кластер
SKKT122/12E,НВН,НВН · SEMIKRON · прочее,SEMIKRON,Тиристор,Тиристор SEMIKRON SKKT122/12E,прочее,2,ШТ,available_lead,нет,conditional,,"средняя отгрузка 6,5 рабочих дня (дата на карточке 22.09), MOQ 1 шт; заказной ввоз",full,Eleparts (엘레파츠),Республика Корея,https://www.eleparts.co.kr/goods/view?no=18089460,component_maker,116727.27,KRW,1,86.9132,86.9132,173.83,нет,,,,,Semikron Danfoss,SKKT 122/12 E (код продавца 07894010),,сплошная проверка остатка 09.2026,"Найден точный артикул: Semikron Danfoss SKKT 122/12 E, тиристорный модуль SEMIPACK2, 1,2 кВ, 122 А, Ifmax 3,6 кА, исполнение A21, выводы FASTON/винт. Цена 116 727,27 KRW/шт без НДС (~86 USD), тир от 8 шт — 104 909,09. Заявленные 2 шт закрываются. Числа остатка нет, карточка прямо помечена как 주문수입상품 (позиция заказного ввоза) — поэтому in_stock=conditional, а не yes. Первоисточник тут совпадает с OEM: Semikron и есть изготовитель модуля.",,,,,,,Eleparts | Республика Корея |  | +82 1600 8749 | по этой детали,Forum Energy Technologies | USA/Germany |  | +1 713 351 7900;+49 40 37022 6855 | кластер,"Drilltech Manufacturing Co., Ltd | China | info@drilltech.cn | +86 317 2010189;+86 139 1057 5181 | кластер",WAGO | Germany | info.de@wago.com | +49 571 887 0 | кластер
SKKT57B12E,НВН,НВН · SEMIKRON · прочее,SEMIKRON,Тиристор,Тиристор SEMIKRON SKKT57B12E,прочее,3,ШТ,available_lead,нет,conditional,,"на самой карточке срок не указан; у соседних позиций Semikron того же продавца 5,5–6,5 рабочих дня (заказной ввоз)",full,Eleparts (엘레파츠),Республика Корея,https://www.eleparts.co.kr/goods/view?no=2869021,component_maker,98090.91,KRW,1,73.0369,73.0369,219.11,нет,,,,,Semikron Danfoss,SKKT 57B12 E,,сплошная проверка остатка 09.2026,"Найден точный артикул: SEMIKRON SKKT 57B12 E, тиристорный модуль SEMIPACK, 1200 В. Цена 98 090,91 KRW/шт без НДС (~72 USD), тиры 10 шт — 96 727,27, 50 шт — 94 727,27, то есть 3 шт заявки закрываются с запасом. Числа остатка нет (позиция заказного ввоза) — отсюда conditional. Здесь правило первоисточника не даёт выигрыша: Semikron и есть изготовитель. ВНИМАНИЕ: у того же продавца дешевле SKKT 57/12 E (код 07897331, 58 909,09 KRW) — это ДРУГОЕ исполнение без 'B', подменять без сверки схемы нельзя.",,,,,,,Eleparts | Республика Корея |  | +82 1600 8749 | по этой детали,Forum Energy Technologies | USA/Germany |  | +1 713 351 7900;+49 40 37022 6855 | кластер,"Drilltech Manufacturing Co., Ltd | China | info@drilltech.cn | +86 317 2010189;+86 139 1057 5181 | кластер",WAGO | Germany | info.de@wago.com | +49 571 887 0 | кластер
SKM195GB066D,НВН,НВН · SEMIKRON · прочее,SEMIKRON,Транзистор,Транзистор SEMIKRON SKM195GB066D,прочее,4,ШТ,pn_not_found,нет,unknown,,,unknown,FindChips (агрегатор),,https://www.findchips.com/search/SKM195GB066D,unknown,0.0,USD,1,,,,нет,70,160,A,,,,,проверка 08.2026,"ранняя проверка 08.2026: артикул не найден. Страница жива, но поиск пуст: дословно «No results were found for SKM195GB066D». Ни одного дистрибьютора, ни цены, ни остатков. Заявленные в основании TME 69.68-83.02, Farnell 105.62-121.91, Newark 131.49 этой ссылкой НЕ подтверждаются — на агрегаторе позиции нет вообще. Похоже на снятый с производства/несуществующий в таком написании артикул Semikron.",,,,,,,FindChips |  |  |  | по этой детали,Eleparts | Республика Корея |  | +82 1600 8749 | кластер,Forum Energy Technologies | USA/Germany |  | +1 713 351 7900;+49 40 37022 6855 | кластер,"Drilltech Manufacturing Co., Ltd | China | info@drilltech.cn | +86 317 2010189;+86 139 1057 5181 | кластер"
SL-5ES-1,НВН,НВН · Sixnet · прочее,Sixnet,,Коммутатор Sixnet SL-5ES-1,прочее,2,ШТ,available_lead,нет,conditional,,"средняя отгрузка 6,5 рабочих дня (дата на карточке 22.09), MOQ 1 шт, единица продажи 1 шт",unknown,Eleparts (엘레파츠),Республика Корея,https://www.eleparts.co.kr/goods/view?no=18381734,component_maker,,USD,1,,,,нет,,,,,Red Lion Controls (бренды Sixnet / N-Tron),SL-5ES-1,,сплошная проверка остатка 09.2026,"Найден точный артикул. Первоисточник установлен: на карточке бренд и изготовитель — RED LION, в ссылке на документацию прямо 'Sixnet® SL-5ES-1 Unmanaged 5-port Industrial Ethernet Switch'. То есть Sixnet — поглощённая марка, живой изготовитель Red Lion Controls, и запрашивать надо у него/его дистрибьюторов, а не искать Sixnet. Характеристики с карточки: неуправляемый коммутатор Ethernet, 5 портов, питание 10–30 В DC, монтаж на DIN-рейку. Цена на карточке не опубликована (по запросу) — поэтому price пуст; числа остатка нет, заказной ввоз.",,,,,,,Eleparts | Республика Корея |  | +82 1600 8749 | по этой детали,Forum Energy Technologies | USA/Germany |  | +1 713 351 7900;+49 40 37022 6855 | кластер,"Drilltech Manufacturing Co., Ltd | China | info@drilltech.cn | +86 317 2010189;+86 139 1057 5181 | кластер",WAGO | Germany | info.de@wago.com | +49 571 887 0 | кластер
SQ0365-0009,НВН,НВН · TDM · прочее,TDM,Пускорегулирующая аппаратура,Аппарат пускорег.TDM арт.SQ0365-0009,прочее,40,ШТ,pn_not_found,нет,unknown,,,unknown,ChipDip,,https://www.chipdip.ru/product0/8020082173,unknown,0.0,USD,1,,,,нет,14,21,A,,,,,проверка 08.2026,"ранняя проверка 08.2026: ссылка-основание мертва. HTTP 403 (антибот ChipDip) и через WebFetch, и через curl. Ни PN, ни цену, ни наличие увидеть не удалось. Заявленные 1158-1638 RUB не проверены; плюс вилка получена пересчётом по курсу ~80 RUB/USD, что добавляет ещё одну непроверенную допущенную величину.",,,,,,,ChipDip |  |  |  | по этой детали,Eleparts | Республика Корея |  | +82 1600 8749 | кластер,Forum Energy Technologies | USA/Germany |  | +1 713 351 7900;+49 40 37022 6855 | кластер,"Drilltech Manufacturing Co., Ltd | China | info@drilltech.cn | +86 317 2010189;+86 139 1057 5181 | кластер"
"SSD 2,5 SATA III 960 ГБ",НВН,НВН · Kingston · прочее,Kingston,,"Накопитель SSD 2,5 SATA III 960 ГБ",прочее,1,ШТ,in_stock,твёрдый,yes,,Sofort verfügbar — отгрузка сразу,full,ALTERNATE GmbH,Германия,https://www.alternate.de/Kingston/A400-960-GB-SSD/html/product/1430592,oem,207.9,EUR,1,241.2286,241.2286,241.23,да,,,,,,,,сплошная проверка остатка 09.2026,"Карточка открыта и проверена: Kingston A400 960 ГБ, артикул производителя SA400S37/960G, 2,5"" SATA 6 Гбит/с, статус Sofort verfügbar, 207,90 EUR с НДС плюс доставка от 7,99 EUR, продаётся поштучно. ВАЖНО по цене: это единственная подтверждённая карточка в партии, но цена явно нерыночная — по нашему опыту эта модель стоит порядка 60-80 EUR, то есть здесь завышение примерно втрое. Брать не здесь. Для судового применения обсудить индустриальный SSD (вибрация, температура).",,,,,,,ALTERNATE GmbH | Германия | info@alternate.de | +49 6403 9050 3700;+49 6403 9050 40 | по этой детали,Eleparts | Республика Корея |  | +82 1600 8749 | кластер,Forum Energy Technologies | USA/Germany |  | +1 713 351 7900;+49 40 37022 6855 | кластер,"Drilltech Manufacturing Co., Ltd | China | info@drilltech.cn | +86 317 2010189;+86 139 1057 5181 | кластер"
ST250DM000 250Гб,НВН,НВН · Seagate · прочее,Seagate,,Диск жесткий Seagate ST250DM000 250Гб,прочее,1,ШТ,pn_not_found,нет,unknown,,,unknown,,,,oem,,USD,1,,,,нет,,,,,,,"Накопитель SATA III от 250 ГБ, форм-фактор по посадочному месту; предпочтительно SSD",сплошная проверка остатка 09.2026,"ранняя проверка 08.2026: артикул не найден. Поиском не подтверждено: на alternate.de позиции нет, поисковые системы недоступны. Seagate Barracuda 7200.12 250 ГБ снят с производства более десяти лет назад — нового не существует, рынок только б/у и восстановленные диски. Если диск нужен как замена в промышленном ПК или АРМ, предложить заказчику современный SATA-накопитель, лучше SSD: совместимость по интерфейсу полная. Если же система привязана к клону образа именно этой модели, тогда нужен именно б/у экземпляр — это надо выяснить.",,,,,,,Eleparts | Республика Корея |  | +82 1600 8749 | кластер,Forum Energy Technologies | USA/Germany |  | +1 713 351 7900;+49 40 37022 6855 | кластер,"Drilltech Manufacturing Co., Ltd | China | info@drilltech.cn | +86 317 2010189;+86 139 1057 5181 | кластер",WAGO | Germany | info.de@wago.com | +49 571 887 0 | кластер
SWAG.01.07,НВН,НВН · Mi Swaco · прочее,Mi Swaco,Перемешиватель механический SWAGX32VC3616,ВКЛАДЫШ SWAG_01_07 арт.SWAG.01.07,прочее,5,ШТ,pn_not_found,нет,unknown,,,unknown,,,,oem,,USD,1,,,,нет,150,900,C,,,,"Вкладыш муфты KTR ROTEX / Lovejoy L-jaw / Falk Sure-Flex либо втулка скольжения ISO 3547 (GGB DU, бронза CuSn12)",сплошная проверка остатка 09.2026,"ранняя проверка 08.2026: артикул не найден. Опознано: вкладыш мешалки раствора M-I SWACO SWAGX32VC3616. Важно: SWAG.01.07 — номер позиции ведомости ЗИП M-I SWACO, а не каталожный номер изготовителя, поэтому его и нет в поиске. Два чтения: 1) эластичный вкладыш муфты мотор-редуктор — KTR ROTEX, Lovejoy L-jaw, Falk Sure-Flex; 2) втулка подшипника скольжения — ISO 3547 (GGB DU) или бронза CuSn12. Уточнить: типоразмер муфты и Shore либо ID×OD×L втулки; марка редуктора мешалки.",,,,,,,Eleparts | Республика Корея |  | +82 1600 8749 | кластер,Forum Energy Technologies | USA/Germany |  | +1 713 351 7900;+49 40 37022 6855 | кластер,"Drilltech Manufacturing Co., Ltd | China | info@drilltech.cn | +86 317 2010189;+86 139 1057 5181 | кластер",WAGO | Germany | info.de@wago.com | +49 571 887 0 | кластер
TOP-BOSPRO-18.6.0,НВН,НВН · TopON · прочее,TopON,,Аккумулятор TopON TOP-BOSPRO-18.6.0,прочее,1,ШТ,pn_found_no_stock,нет,no,0,,no,Кувалда.ру,Россия,https://yaroslavl.kuvalda.ru/catalog/8176/product-178415/,aftermarket,9460.0,RUB,1,112.145,112.145,,нет,,,,,"TopON (совместимый аналог, не Bosch)",,"Оригинал Bosch ProCORE18V 6.0 А·ч, PN 2607336092",сплошная проверка остатка 09.2026,"Карточка Кувалда.ру: 9 460 ₽, статус «Товара нет в наличии». DNS и Ситилинк карточку держат, но цену и наличие не отдали (страницы закрыты защитой). Важно по сути: TopON — не изготовитель узла, а российский бренд совместимых АКБ; это копия Bosch ProCORE18V 6.0 А·ч (оригинальный PN 2607336092, он же указан в названиях листингов). 9 460 ₽ (~110 USD) за неоригинал сопоставимо с ценой оригинального Bosch — уточнить у заказчика, нужен ли именно оригинал.",,,,,,,Кувалда.ру | Россия | b2b@kuvalda.ru;order@kuvalda.ru;tvs@kuvalda.ru | +7 4852 60-92-64;+7 800 600-27-01 | по этой детали,Eleparts | Республика Корея |  | +82 1600 8749 | кластер,Forum Energy Technologies | USA/Germany |  | +1 713 351 7900;+49 40 37022 6855 | кластер,"Drilltech Manufacturing Co., Ltd | China | info@drilltech.cn | +86 317 2010189;+86 139 1057 5181 | кластер"
V1910-16G,НВН,НВН · Hewlett Packard · прочее,Hewlett Packard,,Маршрутизатор HP V1910-16G Switch JE005A,прочее,1,ШТ,in_stock,твёрдый,yes,,In Stock — Ships Worldwide; заказ до 13:00 PST — отгрузка overnight,full,HardDiskDirect,США,https://harddiskdirect.com/je005a-hp-network-switch.html,oem,98.0,USD,1,98.0,98.0,98.0,да,,,,,3Com/H3C (OEM для HP),,,сплошная проверка остатка 09.2026,"Карточка: JE005A, $98.00, In Stock, Condition: Refurbished (числа остатка нет). Коммутатор давно снят с производства — рынок только б/у и refurb, нового не будет. Вторая карточка (Newegg, продавец E.O.L. Tech Inc) цену не отдаёт: «see price in cart». Линейка V1910 — перешильдованный 3Com/H3C после покупки 3Com компанией HP; точный эквивалент H3C поиском не подтверждён. Уточнить у заказчика, проходит ли восстановленное оборудование.",,,,,,,HardDiskDirect | США | sales@harddiskdirect.com;rma@harddiskdirect.com | +1 866 705-5346 | по этой детали,Eleparts | Республика Корея |  | +82 1600 8749 | кластер,Forum Energy Technologies | USA/Germany |  | +1 713 351 7900;+49 40 37022 6855 | кластер,"Drilltech Manufacturing Co., Ltd | China | info@drilltech.cn | +86 317 2010189;+86 139 1057 5181 | кластер"
V2 2Tb,НВН,НВН · Extreme Pro · прочее,Extreme Pro,,Диск SSD SanDisk Extreme Pro V2 2Tb,прочее,2,ШТ,pn_not_found,нет,unknown,,,unknown,,,,unknown,,USD,1,,,,нет,,,,,SanDisk (Western Digital),,,сплошная проверка остатка 09.2026,"ранняя проверка 08.2026: артикул не найден. Поиском не подтверждено: Amazon отдал captcha, CDW/Newegg/Walmart рендерят выдачу скриптом, B&H и Provantage — 403. Замечание по заявке: 'Extreme Pro' указан производителем ошибочно — это линейка, изготовитель SanDisk (Western Digital). Полное имя изделия — SanDisk Extreme PRO Portable SSD V2 2 ТБ, заводской артикул вида SDSSDE81-2T00 (требует подтверждения по коробке). Это единственная розничная позиция листа: закрывается любым IT-ритейлером за 1–3 дня, запрашивать нужно по артикулу SDSSDE81-2T00, а не по 'V2 2Tb'.",,,,,,,Eleparts | Республика Корея |  | +82 1600 8749 | кластер,Forum Energy Technologies | USA/Germany |  | +1 713 351 7900;+49 40 37022 6855 | кластер,"Drilltech Manufacturing Co., Ltd | China | info@drilltech.cn | +86 317 2010189;+86 139 1057 5181 | кластер",WAGO | Germany | info.de@wago.com | +49 571 887 0 | кластер
YL6S/C-D-050-R-RU-SF-A-ST-00-00-00,НВН,НВН · Yodalex · прочее,Yodalex,,Сирена 9036258,прочее,1,ШТ,oem_only,нет,unknown,,,unknown,,,,component_maker,,USD,1,,,,нет,,,,,"R. STAHL (линия Yodalex, ранее Clifford & Snell)",YL6S/C-D-050-R-RU-SF-A-ST-00-00-00,"R. STAHL YODALEX 3, серия YL60/3 — звуковой и светозвуковой оповещатель до 120 дБ(А)",сплошная проверка остатка 09.2026,"«Yodalex» — не изготовитель, а торговая линия R. STAHL (ранее Clifford & Snell). Структура кода подтверждена документом самого R. STAHL на однотипное исполнение YL6S/C-N-050-A-EN-SF-A-ST-00-00-00, то есть это заводской конфигурационный код R. STAHL, а не чей-то дилерский. Запрос цены и срока — в R. STAHL и его дистрибьюторов. YL6S — предыдущее поколение, текущее — YL60/3 YODALEX 3. Живой карточки с ценой не найдено. Уточнить напряжение, цвет линзы и маркировку Ex.",,,,,,,Eleparts | Республика Корея |  | +82 1600 8749 | кластер,Forum Energy Technologies | USA/Germany |  | +1 713 351 7900;+49 40 37022 6855 | кластер,"Drilltech Manufacturing Co., Ltd | China | info@drilltech.cn | +86 317 2010189;+86 139 1057 5181 | кластер",WAGO | Germany | info.de@wago.com | +49 571 887 0 | кластер
ZBV B1,НВН,НВН · Schneider Electric · прочее,Schneider Electric,,Блок светосигнальный ZBV B1 24 V,прочее,4,ШТ,pn_not_found,нет,unknown,,,unknown,Schneider Electric (каталог se.com),,https://www.se.com/us/en/product/ZBVB1/,unknown,0.0,USD,1,,,,нет,10,33,A,,,,,проверка 08.2026,"ранняя проверка 08.2026: источник оказался не продавцом. Страница живая, PN точный (ZBVB1, блок подсветки Harmony XB4/XB5, белый, 24V AC/DC), но цены на ней нет — каталог производителя без продажи. Написано «Stock — Normally stocked in distribution facility», это заявление о дистрибуции, а не реальный остаток. Цифра 32.76 USD из basis (Standard Electric) на этой странице не подтверждается.",,,,,,,Schneider Electric |  |  |  | по этой детали,Eleparts | Республика Корея |  | +82 1600 8749 | кластер,Forum Energy Technologies | USA/Germany |  | +1 713 351 7900;+49 40 37022 6855 | кластер,"Drilltech Manufacturing Co., Ltd | China | info@drilltech.cn | +86 317 2010189;+86 139 1057 5181 | кластер"
ZBV B3,НВН,НВН · Schneider Electric · прочее,Schneider Electric,,Блок светосигнальный ZBV B3 24 V,прочее,4,ШТ,pn_found_no_stock,нет,no,,,unknown,Schneider Electric (каталог se.com),,https://www.se.com/us/en/product/ZBVB3/,unknown,0.0,USD,1,,,,нет,10,33,B,,,,,проверка 08.2026,"ранняя проверка 08.2026: источник оказался не продавцом. Страница живая, PN есть (пишется слитно ZBVB3), но цены нет вообще — это карточка каталога производителя, не магазин. Плюс товар снят с производства 09.01.2023, статус «Non-Stock — Not normally stocked in distribution facility», рекомендована замена на ZBVB1. Заявленные 10-33 USD взяты не отсюда (в basis прямо сказано «по однотипному ZBV B1»).",,,,,,,Schneider Electric |  |  |  | по этой детали,Eleparts | Республика Корея |  | +82 1600 8749 | кластер,Forum Energy Technologies | USA/Germany |  | +1 713 351 7900;+49 40 37022 6855 | кластер,"Drilltech Manufacturing Co., Ltd | China | info@drilltech.cn | +86 317 2010189;+86 139 1057 5181 | кластер"
ZBV B4,НВН,НВН · Schneider Electric · прочее,Schneider Electric,,Блок светосигнальный ZBV B4 24 V,прочее,2,ШТ,pn_not_found,нет,unknown,,,unknown,,,,oem,,USD,1,,,,нет,,,,,,,"Schneider Harmony ZBVB4 — светосигнальный блок со встроенным светодиодом 24 В, Ø22, серии XB4/XB5",сплошная проверка остатка 09.2026,"ранняя проверка 08.2026: артикул не найден. Поиском не подтверждено: se.com отдал 403, поисковики недоступны. Правильное каталожное написание — ZBVB4, без пробела: светосигнальный блок Harmony со встроенным светодиодом 24 В, Ø22, ставится и в металлическую серию XB4, и в пластиковую XB5. По кодировке Schneider последняя цифра 4 — красный; цвет обязательно сверить с заявкой. Позиция массовая и дешёвая, есть у любого электротехнического дистрибьютора. Цена не подтверждена.",,,,,,,Eleparts | Республика Корея |  | +82 1600 8749 | кластер,Forum Energy Technologies | USA/Germany |  | +1 713 351 7900;+49 40 37022 6855 | кластер,"Drilltech Manufacturing Co., Ltd | China | info@drilltech.cn | +86 317 2010189;+86 139 1057 5181 | кластер",WAGO | Germany | info.de@wago.com | +49 571 887 0 | кластер
0000378,НВН,НВН · NATIONAL OILWELL VARCO · ремкомплекты и наборы,NATIONAL OILWELL VARCO,Гидравлическая станция управления превенторами 20026595,Набор NOV 0000378,ремкомплекты и наборы,1,ШТ,in_stock,твёрдый,yes,,"IN STOCK, отгрузка со склада США (числа остатка на карточке нет)",full,Wojanis Supply,США,https://www.wojanis.com/itemdetail/AI-11-3KT,component_maker,630.0,USD,1,630.0,630.0,630.0,да,,,,,"Accumulators, Inc.",AI-11-3KT,"Accumulators Inc. AI-11-3KT — ремкомплект пузыря аккумуляторного баллона 11 гал / 3000 psi, Buna-N",сплошная проверка остатка 09.2026,"Опознано по мануалу NOV 10851186-MAN: 0000378 = Bladder Kit баллона-аккумулятора 11 гал 3000 psi top-loading в станции управления превенторами (сосед 0000385 = ремкомплект 15 гал 3KSI). НАЙДЕН ЖИВОЙ ЭКВИВАЛЕНТ: Accumulators Inc. AI-11-3KT '11 GAL BLADDER REPAIR KIT 3000 PSI BUN', Wojanis Supply (США), IN STOCK, 630.00 USD за 1 шт (492.19 при 7+), корзина с ценой; числа остатка нет. Проверить шильду баллона: Greer/Parker или Tobul — комплект другой. Буна-N под водогликоль.",,,,,,,Wojanis Supply | США | sales@wojanis.com | +1 724 695-1415 | по этой детали,"Jiangsu Deenpu Petrochemical Machinery Co., Ltd | China | sales@deenpu-machinery.com |  | кластер",Big Iron Flow | Канада |  | +1 281-769-5343;+1 281 769 5343 | кластер,
0000385,НВН,НВН · NATIONAL OILWELL VARCO · ремкомплекты и наборы,NATIONAL OILWELL VARCO,Гидравлическая станция управления превенторами 20026595,Ремкомплект 15 галлонов 3KSI LT 0000385,ремкомплекты и наборы,7,К-Т,available_lead,нет,conditional,,отгрузка в течение 7 дней после оплаты,full,"Jiangsu Deenpu Petrochemical Machinery Co., Ltd",China,https://deenpu123.en.made-in-china.com/product/aFjfhyuGJLtJ/China-High-Pressure-Hydraulic-Bladder-Accumulator-Repair-Kits-for-Nxq.html,aftermarket,50.0,USD,1,50.0,50.0,350.0,нет,350,1400,C,завышено в 17.5x,,,"Ремкомплект/баллон (capsule) баллонного гидроаккумулятора серии NXQ, 21 МПа",сплошная проверка остатка 09.2026,"По PN 0000385 не найдено. Опознание: '15 галлонов 3KSI' = баллонный гидроаккумулятор 15 US gal (56,8 л) на 3000 psi, ремкомплект = резиновый баллон + уплотнения. Живая карточка: US$50-100/шт, MOQ 1, 21 МПа — давление совпадает точно. РАСХОЖДЕНИЕ: на карточке ряд NXQ 10-50 л, а нам нужно ~57 л — размер обязательно подтвердить у продавца. Первоисточник: NOV сам баллоны не делает (Greer/Parker, Hydac) — проверить шильду на бутыли. Вилка 350-1400 USD против 50-100 у изготовителя.","НЕ ПОДТВЕРЖДЕНА. Основание вилки 350–1400 USD опровергнуто: в нашей базе под неё подложена карточка китайского ремкомплекта аккумуляторов ряда NXQ по 50–100 USD, а ряд на карточке — 10–50 л, тогда как нам нужно ~57 л. Это подстановка по классу с несовпадающим типоразмером, а не цена этой детали. Цены самого 0000385 нет нигде, поэтому вердикта по цене не выношу.",,,"Изготовитель (NOV) — официальный канал, цен не публикует. Независимые склады по ТИПОРАЗМЕРУ существуют и цены печатают: Trausch Dynamics (hydraulicstore.com), Accumulators Inc и её дилеры (Wojanis Supply), MSC Industrial. Но все они подбирают по типоразмеру и по резьбе штока, а не по номеру NOV. Авторизованного дистрибьютора NOV с опубликованной ценой по 0000385 нет.","Номер закрытый, кроссов нет, а замена по типоразмеру требует шильды с бутыли, которой у нас нет. Пока изготовитель баллона не назван документом, любая цена будет ценой чужого изделия.","Снять с бутыли аккумулятора шильду: объём, рабочее давление, изготовитель, резьба газового клапана и присоединение по маслу. С этими данными идти к Accumulators Inc и Trausch Dynamics напрямую — оба печатают цены по типоразмеру. Запрос в NOV по серийному номеру гидростанции 20026595 подавать параллельно, а не вместо.","Jiangsu Deenpu Petrochemical Machinery Co., Ltd | China | sales@deenpu-machinery.com |  | по этой детали",Wojanis Supply | США | sales@wojanis.com | +1 724 695-1415 | кластер,Big Iron Flow | Канада |  | +1 281-769-5343;+1 281 769 5343 | кластер,
046064-44-00-01,НВН,"НВН · Cameron France, S.A.S., a Schlumberger Company · ремкомплекты и наборы","Cameron France, S.A.S., a Schlumberger Company",Превентор универсальный гидравлический 18-3/4 5K DL BOP,Комплект ЗИП Cameron 046064-44-00-01,ремкомплекты и наборы,1,ШТ,oem_only,нет,unknown,,,unknown,,,,oem,,USD,1,,,,нет,,,,,,,,сплошная проверка остатка 09.2026,"Опознано: 046064-xx-00-01 = Cameron Standard Spare Parts Kit (Seals, Bearings and Scrapers) кольцевого ПВО D/DL, где -xx — код размера/давления. Подтверждено: 046064-29 'STD SPARE PART KIT FOR 13-5/8"" 5M D BOP', 046064-30-00-01 'Seals, Bearings and Scrapers 13-5/8"" 10K DL'. Код -44 = 18-3/4"" (тот же -44 в 699337-44-02 и 699338-44-03 по каталогу TC1001). Действие: затребовать у SLB состав комплекта (BOM) и переоценить построчно — кольца/подшипники/скребки дешевле в 2-10 раз.",,,,,,,"Jiangsu Deenpu Petrochemical Machinery Co., Ltd | China | sales@deenpu-machinery.com |  | кластер",Wojanis Supply | США | sales@wojanis.com | +1 724 695-1415 | кластер,Big Iron Flow | Канада |  | +1 281-769-5343;+1 281 769 5343 | кластер,
101379318,НВН,НВН · Schlumberger Company · ремкомплекты и наборы,Schlumberger Company,Цементировочный агрегат CPS-763,Комплект ремонтный для КВД 3x3 101379318,ремкомплекты и наборы,3,ШТ,pn_not_found,нет,unknown,,,unknown,,,,unknown,,USD,1,,,,нет,,,,,,,"Ремкомплект 3"" плунжерного крана ВД 1502 (SPM/Weir 3"" plug valve repair kit) — кандидат, требует подтверждения типа крана",сплошная проверка остатка 09.2026,"ранняя проверка 08.2026: артикул не найден. EN: repair kit for 3x3 high-pressure valve, cementing unit CPS-763. Физически — ремкомплект (уплотнения, седло, шток) крана/клапана ВД 3""x3"" манифольда ЦА. Неоднозначность: КВД = кран ВД (плунжерный 1502) либо клапан ВД. Серийный путь — ремкомплекты 3"" 1502: SPM/Weir, Halliburton LO-TORC, FMC; гипотеза по применяемости, НЕ подтверждена. Запросить: фото шильдика крана, чертёж, давление (1502/2002), проходной диаметр, среда/H2S. Поиском не подтверждено: веб-поиск в сессии недоступен.",,,,,,,"Jiangsu Deenpu Petrochemical Machinery Co., Ltd | China | sales@deenpu-machinery.com |  | кластер",Wojanis Supply | США | sales@wojanis.com | +1 724 695-1415 | кластер,Big Iron Flow | Канада |  | +1 281-769-5343;+1 281 769 5343 | кластер,
