Класс;Позиций;С КП;Продавали;Машины;CN $;OEM-Китай $;WMS $;Ранг;Поставщик;Страна;Email;Телефон;WhatsApp/WeChat;КП по классу;Статус CRM;Направление CRM;Капитал / канал;Приоритет теста
Шпильки, болты, стяжки;9;8;0;COP 4050, COP 1028;29.7;0.4;88.2;4;"Jiangxi Siton Machinery Manufacturing Co., Ltd. (SITON; globalsiton.co";China;;;;;Ответил — взял в работу;Внутренности COP: piston/guide/bushing/driver;иностр. капитал в базе не отмечен;2 — разрыв цены втрое, продаж нет
Шпильки, болты, стяжки;9;8;0;COP 4050, COP 1028;29.7;0.4;88.2;5;Fujian Juntai Construction Machinery Co., Ltd. — juntaimachinery.com;Китай;juntai@wan-tai.com.cn;+86 182 5953 5636;;;;;иностр. капитал в базе не отмечен;2 — разрыв цены втрое, продаж нет
Шпильки, болты, стяжки;9;8;0;COP 4050, COP 1028;29.7;0.4;88.2;6;FMRIBT (Fujian/Foshan Mineral Rock Industrial Boring Tools) — mineralr;China;exportsales@fmribt.com;+86 18965558758;+86 18965558758 (WhatsApp);;;;иностр. капитал в базе не отмечен;2 — разрыв цены втрое, продаж нет
Шпильки, болты, стяжки;9;8;0;COP 4050, COP 1028;29.7;0.4;88.2;исключён;Sanshan Rock Tools (Atlas Copco/Epiroc rock drilling consumables);;;;;1;К/П;;"НЕ ОПЦИЯ: капитал OEM — Капитал OEM: по странице компании — с августа 2016 дочернее предприятие Atlas Copco (в ODM-реестре базы отмечено как бывшее СП с Atlas Copco/Epiroc 2013–2020). Для размещения не опция; котировки — только ценовой ориентир";
Шпильки, болты, стяжки;9;8;0;COP 4050, COP 1028;29.7;0.4;88.2;исключён;Zuanshan Mining Machinery Co., Ltd / Shandong Rock Drilling Tools Co.,;;;;;1;К/П;;"НЕ ОПЦИЯ: капитал OEM — Капитал OEM: по странице компании — с августа 2016 дочернее предприятие Atlas Copco (в ODM-реестре базы отмечено как бывшее СП с Atlas Copco/Epiroc 2013–2020). Для размещения не опция; котировки — только ценовой ориентир";
Шпильки, болты, стяжки;9;8;0;COP 4050, COP 1028;29.7;0.4;88.2;исключён;Answk (Guangzhou, air-compressor & Atlas Copco/Epiroc genuine-spares d;;;;;;Написали — ждём;;НЕ ОПЦИЯ: дилер оригинала — Дилер оригинальных запчастей Atlas Copco/Epiroc (по ODM-реестру: distributor of genuine, not ODM) — канал OEM, для размещения не опция;
Шпильки, болты, стяжки;9;8;0;COP 4050, COP 1028;29.7;0.4;88.2;исключён;WMS / Atmaca;;;;;7;К/П;;"НЕ ОПЦИЯ: реселлер OEM — Реселлер уровня OEM (Турция) — цены в 8 раз выше китайских заводов; только ценовой ориентир";
Гидромотор вращения, насосы;7;1;1;COP 3060;;;821.6;1;XCG Parts (heavy machinery alternator/motor factory);China;robin@xcgparts.com;8618758866446;;;Ответил — взял в работу;GAP-мотор (orbital + radial-piston);иностр. капитал в базе не отмечен;2 — китайских котировок нет, сначала собрать КП
Гидромотор вращения, насосы;7;1;1;COP 3060;;;821.6;2;Shijiazhuang Hanjiu;Китай, Хэбэй, Шицзячжуан;Alyssa@sjzhjsm.com;86 311 68123061;;;К/П;GAP-мотор (orbital, Char-Lynn equiv);иностр. капитал в базе не отмечен;2 — китайских котировок нет, сначала собрать КП
Гидромотор вращения, насосы;7;1;1;COP 3060;;;821.6;3;Jining Jinjia Hydraulic;Китай, Шаньдун, Цзинин;alice@jinjiahyd.com;+86 18554169549;;;К/П;GAP-мотор (orbital);иностр. капитал в базе не отмечен;2 — китайских котировок нет, сначала собрать КП
Гидромотор вращения, насосы;7;1;1;COP 3060;;;821.6;4;Hambition Mining (Qingdao Hambition Drivetrain Components & Parts Co.,;China;info@hambition.com;+86-0532-85768537;;;;;иностр. капитал в базе не отмечен;2 — китайских котировок нет, сначала собрать КП
Гидромотор вращения, насосы;7;1;1;COP 3060;;;821.6;5;FMRIBT (Fujian/Foshan Mineral Rock Industrial Boring Tools) — mineralr;China;exportsales@fmribt.com;+86 18965558758;+86 18965558758 (WhatsApp);;;;иностр. капитал в базе не отмечен;2 — китайских котировок нет, сначала собрать КП
Гидромотор вращения, насосы;7;1;1;COP 3060;;;821.6;6;Jining Liyuan Hydraulic;Китай, Шаньдун, Цзинин;lyexport@jnlyyy.com;+86 13605375932;;;Написали — ждём;GAP-мотор (orbital+axial);иностр. капитал в базе не отмечен;2 — китайских котировок нет, сначала собрать КП
Гидромотор вращения, насосы;7;1;1;COP 3060;;;821.6;исключён;Sanshan Rock Tools (Atlas Copco/Epiroc rock drilling consumables);;;;;;К/П;;"НЕ ОПЦИЯ: капитал OEM — Капитал OEM: по странице компании — с августа 2016 дочернее предприятие Atlas Copco (в ODM-реестре базы отмечено как бывшее СП с Atlas Copco/Epiroc 2013–2020). Для размещения не опция; котировки — только ценовой ориентир";
Гидромотор вращения, насосы;7;1;1;COP 3060;;;821.6;исключён;Answk (Guangzhou, air-compressor & Atlas Copco/Epiroc genuine-spares d;;;;;;Написали — ждём;;НЕ ОПЦИЯ: дилер оригинала — Дилер оригинальных запчастей Atlas Copco/Epiroc (по ODM-реестру: distributor of genuine, not ODM) — канал OEM, для размещения не опция;
Гидромотор вращения, насосы;7;1;1;COP 3060;;;821.6;исключён;Chengdu Pudding Mechatronic Co. (CPMC, via aircompressorstrade China d;;;;;;;;НЕ ОПЦИЯ: дилер оригинала — Дилер оригинальных запчастей Atlas Copco/Epiroc (по ODM-реестру: distributor of genuine, not ODM) — канал OEM, для размещения не опция;
Гидромотор вращения, насосы;7;1;1;COP 3060;;;821.6;исключён;WMS / Atmaca;;;;;1;К/П;;"НЕ ОПЦИЯ: реселлер OEM — Реселлер уровня OEM (Турция) — цены в 8 раз выше китайских заводов; только ценовой ориентир";
Датчики, кабели, реле, генераторы;35;0;10;;;;;1;Hovor Diesel (Shijiazhuang Hovor Diesel Engine Co., Ltd.);China;;;;;К/П;GAP-мотор (orbital, Char-Lynn equiv);иностр. капитал в базе не отмечен;2 — котировок нет, поставщики непрофильные
Датчики, кабели, реле, генераторы;35;0;10;;;;;2;Nanjing Wotian Technology Co., Ltd. (WT Sensor);China;;;;;К/П;COP seal kits 2238/3060/4050;иностр. капитал в базе не отмечен;2 — котировок нет, поставщики непрофильные
Датчики, кабели, реле, генераторы;35;0;10;;;;;3;Hambition Mining (Qingdao Hambition Drivetrain Components & Parts Co.,;China;info@hambition.com;+86-0532-85768537;;;;;иностр. капитал в базе не отмечен;2 — котировок нет, поставщики непрофильные
Датчики, кабели, реле, генераторы;35;0;10;;;;;4;"Guangzhou Toparts Mechanical Equipment Co., Ltd. (Toparts; сайты topar";CN;paul@toparts.net;0086-20-32233290;;;Написали — ждём (прозвон);Хвостовики shank COP1838;иностр. капитал в базе не отмечен;2 — котировок нет, поставщики непрофильные
Датчики, кабели, реле, генераторы;35;0;10;;;;;5;Henan Ceda Dinglue Mechanical Equipment Co., Ltd.;China;;;;;Написали — ждём (прозвон);Хвостовики shank COP1838;иностр. капитал в базе не отмечен;2 — котировок нет, поставщики непрофильные
Датчики, кабели, реле, генераторы;35;0;10;;;;;исключён;Answk (Guangzhou, air-compressor & Atlas Copco/Epiroc genuine-spares d;;;;;;Написали — ждём;;НЕ ОПЦИЯ: дилер оригинала — Дилер оригинальных запчастей Atlas Copco/Epiroc (по ODM-реестру: distributor of genuine, not ODM) — канал OEM, для размещения не опция;
Прочее (шток, муфта, экстрактор, охладитель);7;2;2;COP 4050, COP MD 20;;;1543.0;1;Litian Heavy Industry Machinery Co., Ltd. (力天重工 / Litech);Китай, Ляонин, Хулудао;litian@litechtools.com;+86 18080948772;;;Ответил — взял в работу;Хвостовики COP1028-4050;иностр. капитал в базе не отмечен;2 — продавались, но ни одного китайского КП
Прочее (шток, муфта, экстрактор, охладитель);7;2;2;COP 4050, COP MD 20;;;1543.0;2;Mindrill Systems;Индия;salessupport@mindrill.com;+91 98305 94274;;;К/П;Дрифтеры-аналоги 1838/2238/MD20;иностр. капитал в базе не отмечен;2 — продавались, но ни одного китайского КП
Прочее (шток, муфта, экстрактор, охладитель);7;2;2;COP 4050, COP MD 20;;;1543.0;3;Pulanka Rock Tools;Китай, Чжэцзян, Тайчжоу;elma@cnpulk.com;+86 576 82737372;;;Ответил — взял в работу;Хвостовики + drifter ЗИП;иностр. капитал в базе не отмечен;2 — продавались, но ни одного китайского КП
Прочее (шток, муфта, экстрактор, охладитель);7;2;2;COP 4050, COP MD 20;;;1543.0;4;Fujian Juntai Construction Machinery Co., Ltd. — juntaimachinery.com;Китай;juntai@wan-tai.com.cn;+86 182 5953 5636;;;;;иностр. капитал в базе не отмечен;2 — продавались, но ни одного китайского КП
Прочее (шток, муфта, экстрактор, охладитель);7;2;2;COP 4050, COP MD 20;;;1543.0;5;FMRIBT (Fujian/Foshan Mineral Rock Industrial Boring Tools) — mineralr;China;exportsales@fmribt.com;+86 18965558758;+86 18965558758 (WhatsApp);;;;иностр. капитал в базе не отмечен;2 — продавались, но ни одного китайского КП
Прочее (шток, муфта, экстрактор, охладитель);7;2;2;COP 4050, COP MD 20;;;1543.0;6;Hambition Mining (Qingdao Hambition Drivetrain Components & Parts Co.,;China;info@hambition.com;+86-0532-85768537;;;;;иностр. капитал в базе не отмечен;2 — продавались, но ни одного китайского КП
Прочее (шток, муфта, экстрактор, охладитель);7;2;2;COP 4050, COP MD 20;;;1543.0;исключён;Sanshan Rock Tools (Atlas Copco/Epiroc rock drilling consumables);;;;;;К/П;;"НЕ ОПЦИЯ: капитал OEM — Капитал OEM: по странице компании — с августа 2016 дочернее предприятие Atlas Copco (в ODM-реестре базы отмечено как бывшее СП с Atlas Copco/Epiroc 2013–2020). Для размещения не опция; котировки — только ценовой ориентир";
Прочее (шток, муфта, экстрактор, охладитель);7;2;2;COP 4050, COP MD 20;;;1543.0;исключён;Answk (Guangzhou, air-compressor & Atlas Copco/Epiroc genuine-spares d;;;;;;Написали — ждём;;НЕ ОПЦИЯ: дилер оригинала — Дилер оригинальных запчастей Atlas Copco/Epiroc (по ODM-реестру: distributor of genuine, not ODM) — канал OEM, для размещения не опция;
Прочее (шток, муфта, экстрактор, охладитель);7;2;2;COP 4050, COP MD 20;;;1543.0;исключён;WMS / Atmaca;;;;;2;К/П;;"НЕ ОПЦИЯ: реселлер OEM — Реселлер уровня OEM (Турция) — цены в 8 раз выше китайских заводов; только ценовой ориентир";
