Компания;Страна;Город;Тип;Релевантность SGT-400;Сайт;Email;Телефон;Контакт;Дов.;Подтверждение
Rolled Alloys, Inc.;США;"Maumee (Toledo), Ohio; склады Cincinnati, Chicago, Houston, Los Angeles, Richburg SC, Tampa, Tulsa, Windsor CT";сервисный металлоцентр с резкой (лист + раскрой);Складской поставщик Alloy X (Hastelloy X) и Alloy 230 (Haynes 230) в листе и плите, у которого в карточках товара применения указаны прямо: combustion liners и transition ducts. Дополнительно — собственная обработка: лазерная и гидроабразивная резка, правка рулона, разделка кромок плиты, комбинированный лазер/пресс. Это позволяет получить не просто лист, а раскроенные заготовки под сварку жаровой трубы / transition piece, что снимает часть работы с изготовителя.;https://www.rolledalloys.com;"onlinesales@rolledalloys.com; help-tech@rolledalloys.com (металлургическая техподдержка)";"+1 800-521-0332; местный +1 419-330-8555";;high;"Карточка rolledalloys.com/products/nickel/alloy-x/: «UNS: N06002, W. NR.: 2.4665, AMS: 5536, 5754 … APPLICATIONS: Combustion liners, Turbine exhaust components, Aircraft cabin heaters, Transition Ducts. COMMON TRADE NAMES: Hastelloy® X»; формы — «Plate, Round Bar, Sheet». Карточка /products/nickel/alloy-230/: «UNS: N06230, AMS: 5878 … APPLICATIONS: Transition ducts on turbine engines, Combustion linings on turbine engines, Furnace retorts, Flame shrouds. COMMON TRADE NAMES: Haynes® 230»; форма — Sheet. Раздел возможностей: «Laser Cutting, Waterjet Cutting, Coil Leveling, Plate Beveling, Laser/Punch Combo». Контакты со страницы /contact/: «Toledo, OH — 6630 Monclova Rd. Maumee, OH 43537, Phone: 800-521-0332, Local Phone: 419-330-8555; Email: onlinesales@rolledalloys.com; Metallurgical Services: help-tech@rolledalloys.com»."
Special Metals Corporation / Special Metals Wiggin Ltd (группа PCC);США / Великобритания;"Huntington, West Virginia (США); Hereford (Великобритания)";завод (металлургический комбинат спецсплавов);"Владелец и первоисточник марки NIMONIC 263 — сплава, специально созданного как ЛИСТОВОЙ материал для сварных камер сгорания газовых турбин; это ключевой материал жаровых труб и transition piece британской школы (Ruston/Alstom Cyclone → SGT-400, Typhoon → SGT-100, Tornado → SGT-200). Также NIMONIC 75 (BS HR5/HR203), NIMONIC 80A/90, INCONEL 617 и 625 в листе, полосе и плите. Британская площадка Wiggin (Hereford) исторически поставляла Nimonic именно для Rolls-Royce/Ruston.";https://www.specialmetals.com;;"+1 304 526-5100; +1 800 334-4626 (Huntington, WV); +44 (0)1432 382200 (Wiggin, Hereford)";;high;"Технический бюллетень с сайта (specialmetals.com/documents/technical-bulletins/nimonic-alloy-263.pdf): «NIMONIC alloy 263 (UNS N07263/W. Nr. 2.4650), an air melted nickel-base alloy, was developed by Rolls-Royce (1971) Ltd. to provide a SHEET MATERIAL which could be readily fabricated and would offer improved ductility in WELDED ASSEMBLIES to replace NIMONIC alloy 80A»; там же «flash-butt welding is used for the manufacture of gas turbine rings» и режимы термообработки отдельно для hot-rolled sheet и cold-rolled sheet. Адреса из того же PDF: «Special Metals Corporation, 3200 Riverside Drive, Huntington, WV 25705-1771, Phone +1 (304) 526-5100 / +1 (800) 334-4626»; «Special Metals Wiggin Ltd., Holmer Road, Hereford HR4 9SL, Phone +44 (0) 1432 382200»."
Taiyuan Simis Investment Casting Co., Ltd (太原西米斯精密铸造);Китай;Тайюань, пров. Шаньси — 8th Floor, Block A, Ruijie Tech Mansion, Hi-Tech Industry Development Zone, Taiyuan;литейка (вакуумное литьё по выплавляемым моделям);Специализированная литейка по СОПЛОВЫМ АППАРАТАМ (nozzle guide vanes) — у них это выделено в отдельную товарную позицию с описанием функции NGV как соплового венца турбины. Дополнительно: сопловые кольца (nozzle rings), лопатки газовых и паровых турбин, рабочие колёса турбин и компрессоров. Сплавы прямо перечислены: никелевые и кобальтовые жаропрочные — Inconel 713C, Inconel 713LC, Inconel 718, K418, K213. Технология — вакуумное литьё по выплавляемым моделям, что нужно для полых охлаждаемых NGV. Практичный кандидат под сопловой аппарат 1-й ступени SGT-400 / SGT-300 по образцу или чертежу. Контакты опубликованы открыто, компания экспортно-ориентирована (англоязычный сайт, домен investment-casting.biz).;https://www.simis-casting.com/;market@investment-casting.biz;+86-186-3510-8523;;med;"Страница simis-casting.com/lost-wax-investment-casting/superalloy-casting/nozzle-guide-vane.html: NGV описаны как «stator blades of a turbine», которые «direct the airflow onto the turbine blades while at the same time converting pressure energy into kinetic energy». Материалы: «Nickel base high temperature alloy, cobalt base superalloy», марки Inconel 713C / 713LC / 718, K418, K213; процесс — vacuum investment casting. Адрес, телефон и e-mail опубликованы на сайте. Оговорка (почему med): референсов по конкретным промышленным ГТУ Siemens/Ruston на сайте не приведено — нужен запрос на подтверждение опыта по SGT-линейке."
Technoparts LLC (Technoparts Hardware LLC);ОАЭ;Абу-Даби (Musaffah);поставщик ЗИП / рефёрбишмент горячей части;Специализация прямо заявлена по трём OEM: General Electric, Siemens, Ruston (Ruston — прямой предок линейки SGT-400/Cyclone). Номенклатура: combustion liner, transition pieces, crossfire tubes, свечи зажигания, а также buckets/blades/nozzles/vanes/shrouds горячей и компрессорной секций. Заявлен рефёрбишмент компонентов камеры сгорания. Конкретные модели SGT на сайте не указаны — надо запрашивать по чертежу MW21215M / MW22316B.;https://www.technopartsllc.com/;"tpl@technopartsllc.com; Sales@technopartsllc.com; Hassan@technopartsllc.com";"+971 2 550 1052; хотлайн +971 50 137 7131";Hassan (Hassan@technopartsllc.com);med;На technopartsllc.com указано: «parts for General Electric, Siemens, Ruston gas turbines», номенклатура «combustion liner, transition pieces, spark plug and crossfire tube», плюс «buckets, blades, nozzles, vanes and shrouds from hot and compressor sections». Компания основана в 2011 г. Адрес: Office No. B6, Sheikh Faisal Bin Sultan Bldg, Musaffah M14, Abu Dhabi 112375. Модели Siemens (SGT-100/200/300/400) на сайте не детализированы — отсюда med.
Turbine Casting SAS;Франция;Le Creusot (Bourgogne);литейка (вакуумное литьё по выплавляемым моделям, жаропрочные сплавы);"Редкий актив для локализации: позиционирует себя как единственное в Европе НЕЗАВИСИМОЕ литейное производство по выплавляемым моделям, отливающее рабочие и сопловые лопатки для ПРОМЫШЛЕННЫХ газовых турбин (не только авиа). Ключевая компетенция — вакуумное литьё жаропрочных сплавов; делает blades и nozzles для многих OEM. Это ровно тот передел, которого не хватает при локализации соплового аппарата (NGV) и лопаток SGT-400 — металлургию можно закрыть здесь, а покрытие в Lincotek/ATLA.";https://www.turbine-casting.com;contact@turbine-casting.com;+33 3 85 77 14 36;;med;"Сайт turbine-casting.com: «the only European independent investment casting (lost wax casting) active in casting of blades and vanes for industrial gas turbines», ключевая компетенция — «Vacuum casting of superalloy», «make blades and nozzles for many OEMs», площадка «close to General Electric and Safran». Контакты: 265, Allée Emiland Gauthey, 71200 LE CREUSOT, France; тел. +33 (0)3 85 77 14 36; contact@turbine-casting.com; пн-пт 8:00-17:00. Конкретные модели ГТУ (Siemens SGT) на сайте не названы — отсюда confidence=med."
Turbine Group S.A.;Аргентина;Неукен (Neuquén) — офис и собственный механический цех;независимый сервис MRO + механообработка и изготовление деталей турбин;"Профильный независимый сервис ГТУ и ПТ с 1995 г. в нефтегазовом центре Аргентины (Вака-Муэрта). Заявляют прямо по горячей части: 'Inspección de Combustores' (инспекция камер сгорания) и 'Turbine Inspection — Hot Gas Path' (инспекция горячего тракта). Отдельное направление — 'Fabricación, reparación y mecanizado de piezas de turbina' (изготовление, ремонт и механообработка деталей турбин) в собственном цехе. Опыт по оборудованию General Electric, Westinghouse, Mitsubishi и Siemens; обслуживают ТЭС в нескольких странах. Сертификация ISO 9001 / 14001 / 45001. Конкретные модели SGT/Ruston на сайте не перечислены — проверять запросом.";https://www.turbinegroup.com.ar/;info@turbinegroup.com.ar;"+54 299 430 6857 (офис); +54 299 442 9077 (цех); WhatsApp +54 9 297 247 4765";;med;"Сайт turbinegroup.com.ar, раздел 'Servicio técnico de turbinas': перечислены 'Inspección de Combustores' и 'Inspección de Turbina / Turbine Inspection - Hot Gas Path'; упомянут опыт по 'General Electric, Westinghouse, Mitsubishi and Siemens'; отдельная страница 'Mecanizados y fabricación de piezas' — 'Fabricación, reparación y mecanizado de piezas de turbina'. Контакты с сайта: офис 'Santamaria Nº 373, Neuquén' тел. (299) 4306857; цех 'San Martín Nº 1534, Neuquén' тел. (299) 4429077; info@turbinegroup.com.ar; WhatsApp +549 297 247-4765; работа с 1995 г., ISO 9001/14001/45001. Привязка к SGT-400 не подтверждена → med."
Turbine Services, Ltd. (TSL) — ВНИМАНИЕ: с мая 2025 в составе EthosEnergy;США;Saratoga Springs, New York (41 Old Gick Road);независимый (non-OEM) производитель ЗИП, ныне дочерняя структура EthosEnergy;Пионер рынка non-OEM ЗИП для ГТУ с 1972 г., крупнейший в США полнономенклатурный поставщик деталей к турбинам GE. В каталоге по Westinghouse есть отдельные разделы Combustion, Vane Segments, Blades, Fuel Nozzle Components — то есть горячая часть и горелочные компоненты. Собственный инжиниринг и производство (разделы Product Engineering, Product Manufacturing, Patents), пакет Service Life Plus (SL+) — переработанные комбустионные детали с увеличенным ресурсом. Склад >110 000 позиций. Линейка Siemens SGT-400/Ruston НЕ покрывается (только GE Frame 3/5/6/7/9 и Westinghouse W191/W251/W501) — брать как технологического партнёра по горячей части, не как поставщика готовых MW21215M.;https://www.turbineservices.com;sales@turbineservices.com;+1 518.583.6191;;med;"Главная turbineservices.com: «sales@turbineservices.com», «(+1) 518.583.6191», меню Products → GE Gas Turbines (Frame 3/5/5NT/5 two-shaft/6/7/9), Westinghouse Turbines → Seal Rings, Rotor Hardware, Combustion, Vane Segments, Blades, Compressor, Fuel Nozzle Components; «110,000+ Stock Items», «1000+ Customers in over 75 Countries». Адрес по справочникам: 41 Old Gick Road, Saratoga Springs, NY 12866. ОГОВОРКА по правилу 5: в мае 2025 EthosEnergy (в стоп-листе) объявила о приобретении TSL — юрлицо и площадка сохранены, но конечный владелец теперь EthosEnergy; контакты приведены новые, отдельные от Ethos."
Turbinetech GmbH;Германия;Nettetal (Nordrhein-Westfalen);инженерная компания / производитель эквивалентных деталей (non-OEM);Делает «equivalent parts» (неоригинальные аналоги) для горячей части ГТУ: combustion liners, transition pieces, hot gas path components. В матрице поддерживаемых машин прямо стоит Siemens SGT-600 (= GT10, родственник линейки SGT-400), а также Siemens V94.2, V93.0/V93.1, GE MS5001/MS5002/MS6001B/MS7001/MS9001E, MHI 701B/701D, ABB 13D/13E2, Зоря-Машпроект UGT25000/ДУ80. Заявляют 3D-моделирование, реверс-инжиниринг, прецизионное производство и измерения — то есть готовы работать по образцу. Также оказывают услуги CI/HGPI/Major Overhaul. Работают через сеть производителей Западной Европы (сами не OEM).;https://turbinetech.de;info@turbinetech.de;+49 2157 1265132;;med;"Сайт turbinetech.de: перечень OEM/моделей включает «Siemens: V94.2, V93.0 & V93.1, SGT 600»; описание — производство компонентов для gas turbines в power generation / oil & gas, услуги «3D Modelling & Design, Precision Manufacturing, Measurement & Inspection», а также «Combustion Inspection (CI), Hot Gas Path Inspection (HGPI) and Major Overhaul (MO) for your gas turbine fleet». Профиль LinkedIn компании: производит combustion liners и transition pieces (в т.ч. для MHI 701D, ABB/BBC GT13E2). Адрес: Zillessen-Allee 2, 41334 Nettetal, тел. +49 2157 1265132. Важно: сами себя позиционируют как инжиниринг + сеть поставщиков, а не как собственный завод."
Turboaleaciones S.A. de C.V.;Мексика;"Ла-Пьедад, Мичоакан (штаб/цех); полевой центр CISOP — Вильяэрмоса, Табаско";покрытия / ремонт горячей части / независимый сервис MRO;Прямо заявляют работу по горячей части промышленных ГТУ: 'Mantenimiento de partes calientes' (обслуживание горячих деталей) и 'Modernización de sistemas de combustión' (модернизация систем сгорания) — это ровно профиль камеры сгорания / жаровых труб / горелок SGT-400. Также нанесение покрытий на холодную и горячую секцию, обслуживание роторов, бороскопические инспекции, динамическая балансировка. Компания создана в 2010 г. под спрос энергетического и нефтегазового сектора Мексики. Конкретные модели SGT на сайте не перечислены — нужен запрос на SGT-400 / MW21215M и DLE-горелку MW22316B.;http://turboaleaciones.com/;"ventas@turboaleaciones.com; contacto@turboaleaciones.com";"+52 352 526 9004 (Ла-Пьедад); +52 993 315 4704 (CISOP, Вильяэрмоса)";;med;"Сайт turboaleaciones.com: разделы услуг 'Mantenimiento de partes calientes', 'Modernización de sistemas de combustión', 'Recubrimientos' для 'sección fría y sección caliente', 'Mantenimiento de Rotores', бороскопия, динамическая балансировка. Контакты с сайта: 'Boulevard Adolfo López Mateos No. 629, La Piedad, Michoacán 59350'; тел. +52 (352) 526 90 04; ventas@ / contacto@turboaleaciones.com; полевой центр CISOP в Вильяэрмосе, тел. +52 (993) 315-47-04. Год основания 2010, Ла-Пьедад — подтверждено поисковой выдачей по мексиканским отраслевым источникам. Привязка к SGT-400 не заявлена явно → med."
Turbomáquinas, S.A. de C.V.;Мексика;Ла-Пьедад, Мичоакан;завод / реверс-инжиниринг и изготовление компонентов + MRO;Изготовление компонентов турбин и компрессоров по реверс-инжинирингу с химическим анализом материала — то есть способны воспроизвести деталь по образцу (релевантно для жаровой трубы, форсунок, деталей камеры сгорания при наличии образца MW21215M/MW22316B). Восстановление центробежных и осевых компрессоров и паровых турбин мощностью до 678 МВт. Позиционируют себя как 'ведущее предприятие Латинской Америки' по производству и обслуживанию турбомашин. Соседнее предприятие с Turboaleaciones (тот же бульвар в Ла-Пьедад) — вероятно, одна группа: связка 'механообработка + покрытия/горячая часть'.;https://turbomaquinas.com/;ventas@turbomaquinas.com;"+52 352 522 0820; 1-800-7135-300";;med;"Сайт turbomaquinas.com: услуги 'Rehabilitación' (реконструкция центробежных/осевых компрессоров и паровых турбин до 678 МВт), 'Servicios de mantenimiento' и 'Partes' — с прямым указанием на 'ingeniería inversa y análisis químico' для изготовления компонентов турбин и компрессоров; в примерах проектов упомянуто оборудование Mitsubishi, Siemens, Sulzer. Адрес с сайта: 'Boulevard Adolfo López Mateos 653, La Piedad, Michoacán 59350'; тел. +52 (352) 522 0820; ventas@turbomaquinas.com. Профиль смещён в сторону паровых турбин и компрессоров, ГТУ-горячая часть явно не заявлена → med."
Unisys Middle East & Africa FZE (Unisys Group);ОАЭ;Аджман (офисы: Дубай, Бахрейн, Саудовская Аравия, Пакистан);трейдер / поставщик ЗИП и рефёрбишмента;"Поставляют горячую часть ГТУ: turbine blades, turbine nozzles, combustion liners, transition pieces, fuel nozzles, turbine seals; предлагают рефёрбишмент компонентов горячей секции (buckets, chambers, nozzles). Заявлена работа по Siemens, GE, Alstom/ABB, MHI и покрытие рынка MENA включая Египет и Саудовскую Аравию. Ограничение: перечисленные модели Siemens — тяжёлый класс (SGT5/SGT6, V94.3A и т. п.), линия SGT-400 не заявлена; проверять готовность закрыть малый industrial-класс.";https://unisysgroup.ae/gas-turbine-trading-and-services;sales@unisysgroup.ae;+971 6 8814801;;med;На unisysgroup.ae/gas-turbine-trading-and-services указано: «Turbine Blades, Turbine Nozzles, Combustion liners, Transition Pieces, Turbine Seals, Fuel Nozzles» и рефёрбишмент компонентов горячей секции. Перечень Siemens ограничен тяжёлым классом: «SGT6-5000F (M501F/W501F), M701F, SGT6-6000G (W501G), SGT6-4000F (V84.3A), SGT5-4000F (V94.3A), SGT6-8000H», а также SGT6-3000E/2000E/1000F. SGT-400 в списке нет — поэтому релевантность по горелкам DLE под вопросом.
VDM Metals GmbH;Германия;Werdohl;завод (металлургический комбинат спецсплавов);"Европейский аналог Haynes: даёт полный набор листовых материалов горячего тракта под SGT-линейку — VDM Alloy X (2.4665 / N06002 / Nicrofer 4722 Co) в форме листа и плиты, ленты, прутка; VDM Alloy C-263 (2.4650 / N07263 / Nicrofer 5120 Co Ti) — прямой аналог Nimonic 263 для сварных камер сгорания; VDM Alloy 617 (Nicrofer 5520 Co) лист/плита/лента; VDM Alloy 188 (R30188, кобальтовый, для самых горячих зон). Плюс собственные сварочные проволоки VDM FM C-263 и VDM FM 617 — критично для сварки жаровых труб и transition piece.";https://vdm-metals.com;vdm@vdm-metals.com;;;high;"В разделе «Complete product range» (vdm-metals.com/en/products-and-services/alloys-and-semi-finished-products/complete-product-range) карточки: «VDM® Alloy X 2.4665 N06002 … Alternative designation(s) Nicrofer 4722 Co … Product form(s) Sheet and Plate, Strip, Rod and bar, Billet, Wire, Shapes»; «VDM® Alloy C-263 2.4650 N07263 … Nicrofer 5120 Co Ti»; «VDM® Alloy 617 2.4663 N06617 … Nicrofer 5520 Co … Product form(s) Strip, Sheet and Plate, Rod and bar, Billet, Recommended welding consumable(s) VDM® FM 617»; «VDM® Alloy 188 2.4683 R30188». Контакт со страницы Contact: «VDM Metals GmbH, Plettenberger Straße 2, 58791 Werdohl, Germany, vdm@vdm-metals.com»."
Weifang Boyuan Power Technology Co., Ltd. (潍坊博源动力科技有限公司);Китай;Anqiu, Weifang (Аньцю, Вэйфан), пров. Шаньдун;литейка (вакуумное литьё по выплавляемым моделям, кремнезоль);Отливает сопловые/направляющие аппараты (nozzle guide vane, stator vane), рабочие лопатки, сопловые кольца из жаропрочных сплавов. Прямо заявлены марки Inconel 738LC, IN713C, IN718, IN625 — сплавы горячей части ГТУ. Минимальная толщина пера 0,5 мм, шероховатость Ra 3,2. Кандидат на локализацию NGV малых/средних ГТУ (SGT-100/200/300/400) по образцу. Основной поток — турбонаддув и малые ГТД, промышленные ГТУ явно не заявлены.;https://www.boyuancasting.com;info@boyuancasting.com;+86 536 4650168;не найдено (на карточке указаны 3 сотрудника внешнеторгового отдела без имён);med;"Сайт boyuancasting.com (главная): «high temperature alloy lost wax vacuum casting parts, for example: turbine wheel, nozzle guide vane, turbine blade and guide vane, nozzle ring»; контакты на странице — info@boyuancasting.com, +86 536 4650168. Карточки товаров на boyuancasting.en.made-in-china.com: «Turbine Nozzle Guide Vanes of High-Temperature Alloy Investment Casting Gas», «Nickel Based In713c/718LC Lost Wax Casting Stator Vane», материалы Inconel 738LC / 713C / 718. Профиль компании: основана в 2018, Weifang Anqiu, ~140 км от порта Циндао."
Wirturbo;ОАЭ;Дубай;независимый сервис MRO / поставщик вращающегося оборудования;Заявленная мощность по капремонту ГТУ прямо включает SGT-100, SGT-200, SGT-300, SGT-400, SGT-600, SGT-800, а также Rustons, Centaur, T60, RR Avon. Инспекции и overhaul двигателей. Потенциальный подрядчик по разборке/дефектовке камеры сгорания и горелок SGT-400 в регионе, но номенклатура горячей части на сайте не расписана — требует прямого запроса.;https://wirturbo.com/;;"+971 54 796 8268; +971 4 828 2255";;med;На wirturbo.com в перечне охвата по капремонту: «Centaur, T60, RR Avon, Rustons, SGT-100, SGT-200, SGT-300, SGT-400, SGT-600, SGT-800». Позиционирование — «specialist provider of rotating equipments and parts», 15+ лет. Адрес: Business Center 1, M Floor, The Meydan Hotel, Nad Al Sheba, Dubai, PO Box 15384. WhatsApp по номеру +971 54 796 8268. Перечня деталей горячей части (liner, burner, transition piece) на сайте нет — отсюда med.
Завод «Турбодеталь» (в составе АО «Газэнергосервис», Газпром энергохолдинг);Россия;Наро-Фоминск, Московская обл. (головной офис — Москва);завод / литейка жаропрочных сплавов;Единственный найденный в РФ профильный производитель именно номенклатуры горячей части: в перечне продукции завода — камеры сгорания, жаровые трубы, горелки, сопловые аппараты и лопатки из жаропрочных сплавов (точное литьё). Головная АО «Газэнергосервис» прямо декларирует ремонт узлов ГТУ: камеры сгорания, жаровые трубы, горелки, сопловые аппараты, лопатки. Делают детали «как для импортного, так и для отечественного газотурбинного оборудования» — то есть кандидат №1 на локализацию MW21215M / MW22316B по образцу. В группе также заводы «Турборемонт» (Брянск), «РТО» (Щёкино), «Ротор» (Камышин).;https://www.turbonara.ru (завод) / https://www.gesturbo.ru (АО «Газэнергосервис»);"turbo@turbonara.ru; adm@gesturbo.ru";"+7 (4832) 66-82-02 (завод); +7 (495) 259-06-10 (АО «Газэнергосервис», Москва)";Таничев Александр (генеральный директор);high;"turbonara.ru: специализация — «точнолитые детали из жаропрочных сплавов для турбин газоперекачивающих агрегатов»; номенклатура — лопатки турбин, камеры сгорания, жаровые трубы, горелки, сопловые аппараты; адрес 143302, МО, г. Наро-Фоминск, ул. Погодина, 67; turbo@turbonara.ru. gesturbo.ru: «Производство запасных частей для ГПА, ремонт узлов ГПА и газотурбинных установок», адрес 117393, Москва, ул. Профсоюзная, 56, adm@gesturbo.ru. Внимание: телефон завода указан с кодом 4832 (Брянск) — уточнить при контакте."
ООО «АМКОР ГМБХ» (AMCOR);Россия;Казань (Респ. Татарстан);инжиниринг / реверс-инжиниринг ЗИП + сервис;Прямо заявляет работу по линейке Siemens SGT, включая капремонт SGT-400 и сервис горячей части SGT-600 (осмотр жаровых труб, сопловых аппаратов). Позиционирует «ремонт и реинжиниринг жаровых труб и камер сгорания», модернизацию систем сгорания (FlameSheet, LEC III) и поставку ЗИП методом обратного инжиниринга. По запросу серийных номеров готовят перечень OEM-компонентов и график работ — удобный формат для запроса по MW21215M / MW22316B/01.;https://amcor.ru (раздел amcor.ru/siemens-4);info@amcor.ru;+7 (800) 551-28-44;не найдено (учредители: АО «Амкор», Нугуманова Э.Н.);high;"Страница amcor.ru/siemens-4: услуги по турбинам Siemens — модернизация систем сгорания, «ремонт и реинжиниринг жаровых труб и камер сгорания», поставка ЗИП, сервис компонентов горячего газового тракта. По SGT-400: «Специалисты Amcor подготовят перечень OEM-компонентов и график» после получения серийных номеров. По SGT-600 — «проверка состояния жаровых труб, сопловых аппаратов». Реквизиты с сайта: ИНН 1655427282, КПП 168401001, ОГРН 1191690093198 (Казань); тел. +7 (800) 551-28-44, info@amcor.ru, Telegram @AMCORGMBH."
ООО «МС Системы Энергетика» (MC Energy);Россия;Москва;независимый сервис MRO / поставщик ЗИП;На сайте прямо перечислена вся линейка Siemens SGT-100 / 200 / 300 / 400 / 600 / 800 как обслуживаемое оборудование, плюс GE (LM1600/2500/6000, Frame) и Solar (Saturn, Centaur, Taurus, Mars). Заявлена поставка новых и восстановленных компонентов турбин и капитальный/восстановительный ремонт компонентов. Прямой кандидат на запрос по камере сгорания и DLE-горелке SGT-400. Сертификат ISO 9001, позиционирование «независимый поставщик».;https://mcenergy.ru;;+7 (499) 500-27-43, +7 (499) 500-27-45, +7 (499) 500-27-47;;med;"mcenergy.ru: список обслуживаемого оборудования включает Siemens SGT-100, SGT-200, SGT-300, SGT-400, SGT-600, SGT-800; разделы «капитальный ремонт» и «восстановительный ремонт компонентов»; поставка новых и восстановленных ЗИП, в т.ч. Brush, Flender Graffenstaden, Allen Gears, Lufkin. Адрес: 127572, Москва, ул. Угличская, д. 12, корп. 1, оф. 301, 303. E-mail на доступных страницах не опубликован (страницы /kontakty/ и /contacts отдают 404) — запрашивать по телефону."
ООО «Производственное предприятие Турбинаспецсервис» (Turbinaspetsservice);Россия;Уфа (Респ. Башкортостан);независимый сервис MRO / ремонт горячей части + реверс-инжиниринг;Профильный ремонтник горячей части ГТД: на сайте отдельные разделы «Ремонт лопаток газовых турбин» и «Ремонт элементов камеры сгорания», а также «Реверсивный инжиниринг и изготовление запасных частей». Работают по турбинам «отечественного и импортного производства» для энергетики и газотранспорта. Потенциально закрывают жаровую трубу / элементы камеры сгорания MW21215M и детали горелки DUAL DLE MW22316B/01 по образцу. Конкретно SGT-400 на сайте не назван — нужен запрос с чертежами/образцом.;https://turbinass.ru;info@turbinass.ru;+7 (347) 292-76-18;;high;"Сайт turbinass.ru: «ведущее инновационное предприятие в области сервиса газотурбинных двигателей»; в меню услуг — ремонт лопаток газовых турбин, ремонт элементов камеры сгорания, щёточные уплотнения, реверсивный инжиниринг. Юр. лицо ООО «ПП Турбинаспецсервис», адреса: г. Уфа, ул. Шота Руставели, 49 и ул. Юбилейная, 5; тел. +7 (347) 292-76-18, info@turbinass.ru (подтверждено в справочниках)."
ООО «Технологические системы защитных покрытий» (ТСЗП / TSPC);Россия;Москва, г. Щербинка;покрытия (термобарьерные, жаростойкие) + восстановительный ремонт;Профильный подрядчик по покрытиям деталей горячего тракта: термобарьерные покрытия (TBC), плазменное напыление APS, лазерная наплавка, полный технологический цикл по лопаткам и жаровым трубам (combustor liner). Нужен как передел для локализации камеры сгорания MW21215M и деталей DLE-горелки — без TBC/жаростойкого покрытия деталь нерабочая. Связь с SGT-400 напрямую не подтверждена, но по классу деталей соответствие прямое.;https://www.tspc.ru;info@tspc.ru;+7 (495) 136-41-41;;med;"tspc.ru: специализация «модификация поверхности», >1000 технических решений по покрытиям; заявлены термобарьерные покрытия, газотермическое напыление (плазма APS), лазерная наплавка, упрочнение; «полный технологический цикл» изготовления и ремонта для энергетики и нефтегаза, включая лопатки турбин и элементы камер сгорания. Контакты: 108851, Москва, г. Щербинка, ул. Южная, 9А; +7 (495) 136-41-41; info@tspc.ru; пн-чт 08:00–17:00, пт 08:00–16:00."
ООО «УК «КЭР-Холдинг» (KER-Holding, бренд KR Gas Turbine);Россия;Казань (производство — Казань и Нижнекамск);независимый сервис MRO / завод;Специализация — ремонт и обслуживание ГТУ мощностью ДО 50 МВт ведущих мировых производителей, в т.ч. Siemens Energy, Solar, GE, MAN. SGT-400 (13 МВт) точно попадает в их класс. Заявлено 40 отремонтированных турбин 11 моделей, 50 000 м² производственных площадей, собственное изготовление и поставка запчастей — реальная площадка под локализацию камеры сгорания и горелок.;https://krgasturbine.ru;office@ker-holding.ru;+7 (843) 572-09-99;"Сахабиев Ильдар Равилевич (генеральный директор); Жуков Валерий Кузьмич (технический директор, 30 лет в производстве и ремонте авиационных и стационарных ГТД)";high;"krgasturbine.ru: «ремонт и обслуживание газотурбинных установок мощностью до 50 МВт ведущих производителей»; перечень OEM — Siemens Energy, Solar Turbines, General Electric, MAN Energy Solutions, ОДК-Кузнецов, Зоря-Машпроект; «полномасштабные ремонты 40 газовых турбин 11 различных моделей»; услуги включают изготовление и поставку запчастей. Контакты со страницы krgasturbine.ru/contacts: 420036, Казань, ул. Восход, 45; +7 (843) 572-09-99; office@ker-holding.ru."
СП ООО «Сервисный Центр UNGM-DR»;Узбекистан;Чирчик (Ташкентская обл.);независимый сервис MRO / изготовление ЗЧ по реверс-инжинирингу;Совместное предприятие с собственной ремонтной базой: комплексное ТО и ремонт компрессорного, насосного и турбинного оборудования, изготовление запасных частей, реверс-инжиниринг с 3D-сканированием, выезд специалистов, выпуск полного комплекта документации. Подходит как площадка для восстановления/копирования узлов камеры сгорания по образцу в СНГ-контуре (без экспортных ограничений ЕС). Конкретные модели ГТУ на сайте не указаны — требуется прямой запрос по SGT-400.;http://www.ungm-dr.uz;info@ungm-dr.uz;"+998 (70) 183-23-63; +998 (77) 079-39-08; +998 (77) 079-39-03";;med;"ungm-dr.uz: «комплексное техническое обслуживание и ремонт компрессорного, насосного и турбинного оборудования»; отдельно заявлены изготовление запасных частей, реверс-инжиниринг с 3D-сканированием, шеф-монтаж/центровка на объекте, комплект документации. Адрес: Узбекистан, г. Чирчик, ул. Менделеева, 8; info@ungm-dr.uz. Перечень обслуживаемых моделей ГТУ на сайте отсутствует — связь с линейкой SGT не подтверждена."
